"","text"
"1"," berguna mempermudah ribet pindah faskes pindah domisili kota download kantor bpjs daftar susah no telp terdaftar koneksi internet terganggu bayar iuran siasia bpjs payah"
"2","heran deh emang daftar disuruh daftar ehh keterangannya bilang terdaftar bpjs giliran log in bilang terdaftar kumaha sihhhh bad bangett sih aplikasinya bingung mempermudah"
"3","ribet riset password multiple login anggota keluarga bpjs riset password pakai otp doang kasih alternative pengaduan dilempar pandawa dilempar gdrive form dilempar konfirmasi wa gdrive suruh konfirmasi wa pakai one solution telp ngapa males males "
"4"," maksa banget autodebet gua rek bni pilihan autodebet rek bni autodebet buka diribetin sii bayar ko update mulu ribet "
"5","fungsinya pendaftaran berobat online dateng kliniknya daftar ulang manual jadwalnya nomornya kelewat nomor sy dapet daftar online dipanggil orang pegang gimana sih aneh bener"
"6","maksudnya sih memudahkan kerja atw ngak kerja capek bolak kantor bpjs suruh donwlaod register ngak tangung "
"7"," kemarin sempet langsung kantor bpjs sruh sekalinya mudah ribet ganti faskes gagal alasan penuh antrian udahmh minimal gnti faskesnya dlu rugikan udahmah biaya faskes ngurusin ribet susah masyarakat awam coba bntu kemajuan teknologi permudah"
"8"," masyarakat mudah keperluan mengubah data rumah pandemi erorr capta muncul tolong diperbaiki denga lekas masyarakat membutuhkan mobile tolong masukan ditindak lanjuti ya terimakasih"
"9","udah bpjs login nomor singkron nomor kk terdaftarkan ngecek pembayaran susahhaduh ngabisin uang pemerintah uang pemerintah uang rakyat jga tolong perbaiki permudah kasian membutuhkan kesulitan mikir oiii"
"10"," daftar alasan nomer sesuai daftar jkn mobile chat whatsapp pengaduan jawabannya maaf kesalahan sistem haduh gimana nih"
"11"," kecewa mempermudah pengguna mempersulit penggunaan semoga pembuat mendengar keluhan pengguna terimakasih semoga membantu"
"12"," ko ribet daftar susah kya tau masukin nmr tlvn bacaan kesalahan koneksi teroos data normalâ gaada hambatan apapun isi pulsa tpi isi pulsa tetep gabisa "
"13"," pergantian no hp offline cabang online pandawa no hp tdk terdaftar trus sy gmana ganti no hp slaian onlineoffline jgn tagihan pemotongan on time giliran kluhan kasih solusi"
"14"," daftar nmr hp salah chat cs jawabannya kaya robot pelayanan cs shopee cs jkn tingkat pelayanan masyarakat perbaiki systemnya emang serba online verifikasi opsi nmr hp email"
"15"," kantor dikasi kertas suruh daftar online giliran dftr online verif gmana ko ad tindak emang disuruh dftr online disiapkan matang biar pemohon kesusahan meresahkaaan"
"16","parah sayah kantor bpjs cetak kartu anak sayah lahir satpam suruh daftar pandawa satpamnya gk kesnih lagih terdaftar kartunya langsung kirim sayah daftar langsung pandawa bln kartu dikirim liat jkn anak sayah terdaftar keterngnnya non aktif pelayanan kacau pengaduam pakai pulsa parah banget kepesrtaan anak sayah aktif lagih"
"17"," susah kirim kode otp kode dapet tp tampilan blm keubah masukan kode otp verifikasi akun masukin nomor hape jg kode verifikasi tp ya kyak gitu lg kode dapet tp tambilan ubah masukin kode otpnya siasia gabisa masuk lg"
"18"," melaporkan udah membayar tagihan bpjs transaksinya berhasil mobile jkn knapa tagihan berubah tolong knapa"
"19"," buruk masukan data simpan masuk masuk mohon perbaiki karna binggung kantor bpjs suruh registrasi online registrasi online gini"
"20"," akun bisaâ no hp terdaftar dibuhungi terkait responnya solusi mempersulit orang bpjs mendaftarkan anggota keluarga download akun aplikasinya"
"21"," gk jls masuk susah transaksi gagal trus nongol buka kartu blm apaapa buka tulisan diperbaiki developny susah akses"
"22","bener parah email profil email nama pengguna email dikenal diprofil nomer telpon tersambung nomer telpon pengguna tolong diperbaiki keamanan data pribadi user"
"23"," daftar online fitur daftar daftar disuruh login nambah anggota aneh daftar disuruh login login pake akun coba solusi aplikasinya"
"24"," berguna pelayanan online mending benerin masukin nomor kk terdeteksi anggota keluarga melengkapi tulisannya lahir sesuai dispendukcapil ri ngisi manual data sesuai dispendukcapil ri menyusahkan ribet sesuai sesuai apanya sesuai"
"25","data jkn sesuai kk tlp suruh dukcapil pusat data sesuai kk kk adik update dukcapil pusat smape bolak nelpon tp ttep ge adik udh nikah pisah kk tertera hmmmmmmm"
"26"," alurnya kode verifikasi terkirim nomer pendaftar anggota keluarga nomer kepala keluarga posisi orang tua susah sinyal nomer kartunya beda masingmasing individu cek tagihan pembayaran cek via website diakses websitenya manajemen data berantakan pelayanan memakai versi terbaru sinyal kuat "
"27"," pintar masak hp blm diroot dibilang device rooted ya login pakai hp cuman memori hp penuh uninstall jarang dipakai "
"28"," perbaharui log out klik lupa password kirim email no hp nonya aktif kirim email pilihannya tolong perbaharui "
"29"," kurangi bintangnya buruk kali tanggapanya apdet apdet perubahan perbaikan nomor terdaftar terblokir utk mengirimkan kode otp email wa ato lainya lupa pasword verifikasi nomor hp sperti nmor "
"30"," bobrok ya ngak onlinenya ngak dtang kekantornya ribetnya kaya pelayanannya bayar potong digaji eh ngak kepake ujungnya gini ngak didenda"
"31"," daftarin anggota keluarga keterangany login bla bla bla gw masuk menu pendaftaran gw login profil gw jg udah login kopet"
"32","verifikasi no hp sdh kali gagal timeout dsb sdh pakai jaringan telkomsel indosat indihome coba anehnya no otp eh pulsa terpotong cari uang dg no otp terkirim pulsa potong coba bantuan utk ganti faskes system error dec bantu error minggu rekrut orang kompeten utk it "
"33"," log in blm terdaftar klik daftar konfirmasi nohp nohp sesuai dg data haloooooo min no hp sdh berumur th tdk ganti berfungsi utk keperluan mati berubah angkanya nohp tdk terdaftar terdaftar disitu nomor setan belibet banget sih"
"34"," sihsaya log in password dibilang salahsebelumnya beginisaya kode verifikasi utk ganti password kodenya gx dikirim kirim jugaerror ya"
"35"," ngga ngebantu pelanayannya paraaahhhh jelek tlp cs dialihin wa sampe chat nomor wa dihubungi respon dm twitter dialihin wa kacau nih pelayanan bpjs kesehatan"
"36","gw tau musti ngomong ngebahas milik negara bobrok sebobroknya mending boomer divisi dipecat ganti anak muda berbakat paham teknologi sampe negara gakan maju boomer orba ngatur teknologi"
"37","min sori ngasih bintang nomor virtual pembayaran mandiri ente cantumin salah menu cek va mimin ngasihnya udh diperbaiki bintang ane ubah "
"38","min dibantu daftar mobile cash gagal ak akun ngambil va eid gimana ya min loh akun gagal finpay udah daftar mobile cash pake no hp tetep akun"
"39","app bnkee buangâ kuota giliran udh slesai buka gk muncul peringatan koneksi tdk stabil pake wifi jg gk nyangkut pdhl buka medsos lancar emng servernya ni bnkee"
"40"," berfungsi fungsinya salah contohnya perubahan no hp manual bpjs gunanya sih merepotkan pengguna bpjs dasar payah dasar lemah"
"41"," bln login pasword sm coba login pasword salah coba reset pasword no hp terdaftar pdahl daftar pkai no hp gmn solusiny"
